Data - Rest (2)
t_us,dt_us,dt_ms,ax_g,ay_g,az_g,a_mag,a_mag_filt,t_s,jerk_raw,jerk_filt
14553629,10000,10,0.042,0.004,1.013,1.014,1.013,14.553629,0,0.002
14653629,10000,10,0.039,0.004,1.013,1.014,1.011,14.653629,0.003,0
14753629,10000,10,0.041,0.004,1.01,1.011,1.011,14.753629,0.003,0.001
14853629,10000,10,0.045,0.002,1.007,1.008,1.01,14.853629,0.002,0
14953629,10000,10,0.042,0.004,1.009,1.01,1.01,14.953629,0.001,0
15053629,10000,10,0.045,0.005,1.01,1.011,1.01,15.053629,0.002,0.002
15153629,10000,10,0.043,0.003,1.012,1.013,1.012,15.153629,0.002,0.002
15253629,10000,10,0.042,-0.001,1.01,1.011,1.01,15.253629,0.005,0.002
15353629,10000,10,0.039,0.006,1.005,1.006,1.012,15.353629,0.009,0
15453629,10000,10,0.041,0.005,1.014,1.015,1.012,15.453629,0,0.001
15553629,10000,10,0.041,0.005,1.015,1.015,1.013,15.553629,0.001,0.001
15653629,10000,10,0.046,0.004,1.015,1.016,1.014,15.653629,0.003,0.004
15753629,10000,10,0.042,0.005,1.012,1.013,1.01,15.753629,0,0.003
15853629,10000,10,0.039,0.004,1.012,1.013,1.013,15.853629,0.005,0.001
15953629,10000,10,0.044,0.003,1.017,1.018,1.012,15.953629,0.004,0
16053629,10000,10,0.042,0.006,1.013,1.014,1.012,16.053629,0.003,0
16153629,10000,10,0.041,0.002,1.017,1.017,1.012,16.153629,0.008,0
16253629,10000,10,0.043,0.004,1.008,1.009,1.012,16.253629,0.003,0.001
16353629,10000,10,0.038,0.002,1.011,1.012,1.013,16.353629,0.004,0.001
16453629,10000,10,0.041,0.006,1.007,1.008,1.012,16.453629,0.002,0.003
16553629,10000,10,0.043,0.006,1.01,1.01,1.009,16.553629,0.002,0.003
16653629,10000,10,0.044,0.007,1.011,1.012,1.012,16.653629,0.001,0.001
16753629,10000,10,0.042,0.004,1.012,1.013,1.011,16.753629,0.005,0.001
16853629,10000,10,0.042,0.003,1.007,1.008,1.01,16.853629,0.001,0.001
16953629,10000,10,0.04,0.007,1.008,1.009,1.011,16.953629,0.007,0.001
17053629,10000,10,0.043,0.004,1.015,1.016,1.012,17.053629,0.004,0
17153629,10000,10,0.043,0.004,1.011,1.012,1.012,17.153629,0.003,0
17253629,10000,10,0.043,0.004,1.014,1.015,1.012,17.253629,0.001,0.001
17353629,10000,10,0.043,0.005,1.013,1.014,1.013,17.353629,0,0.001
17453629,10000,10,0.039,0.005,1.013,1.014,1.014,17.453629,0.005,0.002
17553629,10000,10,0.044,0.003,1.008,1.009,1.012,17.553629,0.004,0.001
17653629,10000,10,0.042,0.005,1.012,1.013,1.011,17.653629,0.003,0.001
17753629,10000,10,0.041,0.004,1.01,1.01,1.01,17.753629,0.002,0.002
17853629,10000,10,0.043,0.005,1.011,1.012,1.012,17.853629,0.003,0
17953629,10000,10,0.039,0.001,1.014,1.015,1.012,17.953629,0.004,0.001
18053629,10000,10,0.044,0.001,1.01,1.011,1.011,18.053629,0.005,0.001
18153629,10000,10,0.043,0.003,1.005,1.006,1.01,18.153629,0.004,0.003
18253629,10000,10,0.043,0.003,1.009,1.01,1.013,18.253629,0.002,0.001
18353629,10000,10,0.039,0.006,1.011,1.012,1.012,18.353629,0.001,0.001
18453629,10000,10,0.043,0.002,1.012,1.013,1.013,18.453629,0.001,0.002
18553629,10000,10,0.039,0.002,1.013,1.014,1.011,18.553629,0.004,0
18653629,10000,10,0.041,0.005,1.009,1.01,1.011,18.653629,0.002,0.002
18753629,10000,10,0.042,0.005,1.007,1.008,1.013,18.753629,0.005,0.001
18853629,10000,10,0.041,0.001,1.012,1.013,1.014,18.853629,0.002,0.003
18953629,10000,10,0.043,0.007,1.01,1.011,1.011,18.953629,0.001,0.002
19053629,10000,10,0.042,0.004,1.01,1.01,1.013,19.053629,0.007,0.001
19153629,10000,10,0.042,0.002,1.016,1.017,1.012,19.153629,0.007,0.002
19253629,10000,10,0.041,0.006,1.009,1.01,1.01,19.253629,0.002,0.002
19353629,10000,10,0.04,0.006,1.011,1.012,1.012,19.353629,0.005,0.003
19453629,10000,10,0.045,0.004,1.016,1.017,1.015,19.453629,0.002,0.004
19553629,10000,10,0.043,0.007,1.014,1.015,1.011,19.553629,0.007,0
19653629,10000,10,0.043,0.004,1.007,1.008,1.011,19.653629,0.002,0
19753629,10000,10,0.042,0.005,1.005,1.006,1.011,19.753629,0.004,0.001
19853629,10000,10,0.042,0.001,1.009,1.01,1.012,19.853629,0.001,0.002
19953629,10000,10,0.042,0.004,1.01,1.011,1.01,19.953629,0.002,0.004
20053629,10000,10,0.042,0,1.009,1.009,1.014,20.053629,0.002,0.001
20153629,10000,10,0.046,0.004,1.01,1.011,1.013,20.153629,0.002,0.003
20253629,10000,10,0.042,0.003,1.012,1.013,1.01,20.253629,0.006,0.001
20353629,10000,10,0.038,0.007,1.006,1.007,1.011,20.353629,0.002,0.001
20453629,10000,10,0.04,0,1.008,1.009,1.01,20.453629,0.002,0.002
20553629,10000,10,0.041,0.002,1.01,1.011,1.012,20.553629,0,0.003
20653629,10000,10,0.041,0.004,1.01,1.011,1.009,20.653629,0.001,0.004
20753629,10000,10,0.041,0.006,1.009,1.01,1.013,20.753629,0.005,0
20853629,10000,10,0.046,0.002,1.014,1.015,1.013,20.853629,0.009,0.001
20953629,10000,10,0.045,0.003,1.005,1.006,1.012,20.953629,0.009,0.001
21053629,10000,10,0.04,0.004,1.014,1.015,1.013,21.053629,0.005,0.002
21153629,10000,10,0.043,0.006,1.009,1.01,1.011,21.153629,0.006,0
21253629,10000,10,0.037,0.001,1.004,1.004,1.011,21.253629,0.007,0
21353629,10000,10,0.045,0.005,1.01,1.011,1.011,21.353629,0.003,0
21453629,10000,10,0.041,0.005,1.013,1.014,1.011,21.453629,0.004,0.002
21553629,10000,10,0.044,0.007,1.009,1.01,1.013,21.553629,0.003,0.002
21653629,10000,10,0.046,0.006,1.012,1.013,1.011,21.653629,0,0.002
21753629,10000,10,0.044,0.002,1.012,1.013,1.013,21.753629,0,0.001
21853629,10000,10,0.044,0.005,1.012,1.013,1.012,21.853629,0.001,0
21953629,10000,10,0.041,0.006,1.011,1.012,1.012,21.953629,0.007,0.003
22053629,10000,10,0.046,0.001,1.004,1.005,1.009,22.053629,0.009,0.003
22153629,10000,10,0.043,0.003,1.013,1.014,1.012,22.153629,0.007,0.001
22253629,10000,10,0.044,0.005,1.02,1.021,1.011,22.253629,0.015,0
22353629,10000,10,0.039,0.006,1.005,1.006,1.011,22.353629,0.014,0.002
22453629,10000,10,0.043,0.004,1.02,1.02,1.013,22.453629,0.005,0.001
22553629,10000,10,0.043,0.006,1.014,1.015,1.012,22.553629,0.005,0.001
22653629,10000,10,0.043,0.004,1.01,1.01,1.011,22.653629,0.008,0.003
22753629,10000,10,0.044,0.007,1.017,1.018,1.014,22.753629,0.006,0
22853629,10000,10,0.047,0.006,1.011,1.012,1.014,22.853629,0.002,0
22953629,10000,10,0.044,0.005,1.009,1.01,1.014,22.953629,0.001,0.003
23053629,10000,10,0.042,0.004,1.008,1.009,1.011,23.053629,0.001,0.001
23153629,10000,10,0.043,0.005,1.009,1.01,1.012,23.153629,0.006,0
23253629,10000,10,0.043,0.005,1.015,1.016,1.012,23.253629,0.002,0
23353629,10000,10,0.042,0.006,1.013,1.014,1.012,23.353629,0.005,0.001
23453629,10000,10,0.045,0.002,1.008,1.009,1.011,23.453629,0,0.001
23553629,10000,10,0.042,0.006,1.009,1.009,1.012,23.553629,0.001,0.001
23653629,10000,10,0.04,0.005,1.009,1.01,1.013,23.653629,0.008,0.001
23753629,10000,10,0.043,0.005,1.017,1.018,1.012,23.753629,0.003,0.001
23853629,10000,10,0.037,0.002,1.014,1.015,1.013,23.853629,0.006,0
23953629,10000,10,0.044,0.003,1.009,1.009,1.013,23.953629,0.001,0.001
24053629,10000,10,0.042,0,1.007,1.008,1.012,24.053629,0.007,0.001
24153629,10000,10,0.041,0.004,1.014,1.015,1.013,24.153629,0.003,0.002
24253629,10000,10,0.043,0.005,1.011,1.012,1.011,24.253629,0.001,0.003
24353629,10000,10,0.044,0.001,1.012,1.013,1.014,24.353629,0.003,0.001
24453629,10000,10,0.042,0.007,1.009,1.01,1.013,24.453629,0.004,0.001
24553629,10000,10,0.044,0.003,1.013,1.014,1.012,24.553629,0.005,0.001
24653629,10000,10,0.045,0.003,1.008,1.009,1.013,24.653629,0.005,0.003
